18/10/2022 16:51:55.353/Iniciou o main
18/10/2022 16:51:55.358/Abriu a comunicação
18/10/2022 16:51:55.394/Enviou Handshakeb'\x01\x00\x00-\x00\xf3\x00\x00\x00\x00'
18/10/2022 16:51:58.481/ Handshake recebido
18/10/2022 16:52:59.592/ Ack Recebido b'\x04\x00\x00-\x17r\x00\x00\x00'
18/10/2022 16:52:59.739/ Enviando pacote b'\x00\x00\x00-\x18r\x00\x17\x00\x00'
18/10/2022 16:53:01.461/ Ack Recebido b'\x04\x00\x00-\x18r\x00\x00\x00'
18/10/2022 16:53:01.603/ Enviando pacote b'\x00\x00\x00-\x19r\x00\x18\x00\x00'
18/10/2022 16:53:03.489/ Ack Recebido b'\x04\x00\x00-\x19r\x00\x00\x00'
18/10/2022 16:53:03.631/ Enviando pacote b'\x00\x00\x00-\x1ar\x00\x19\x00\x00'
18/10/2022 16:53:05.467/ Ack Recebido b'\x04\x00\x00-\x1ar\x00\x00\x00'
18/10/2022 16:53:05.620/ Enviando pacote b'\x00\x00\x00-\x1br\x00\x1a\x00\x00'
18/10/2022 16:53:07.390/ Ack Recebido b'\x04\x00\x00-\x1br\x00\x00\x00'
18/10/2022 16:53:07.542/ Enviando pacote b'\x00\x00\x00-\x1cr\x00\x1b\x00\x00'
18/10/2022 16:53:09.444/ Ack Recebido b'\x04\x00\x00-\x1cr\x00\x00\x00'
18/10/2022 16:53:09.596/ Enviando pacote b'\x00\x00\x00-\x1dr\x00\x1c\x00\x00'
18/10/2022 16:53:11.487/ Ack Recebido b'\x04\x00\x00-\x1dr\x00\x00\x00'
18/10/2022 16:53:11.637/ Enviando pacote b'\x00\x00\x00-\x1er\x00\x1d\x00\x00'
18/10/2022 16:53:13.539/ Ack Recebido b'\x04\x00\x00-\x1er\x00\x00\x00'
18/10/2022 16:53:13.690/ Enviando pacote b'\x00\x00\x00-\x1fr\x00\x1e\x00\x00'
18/10/2022 16:53:15.573/ Ack Recebido b'\x04\x00\x00-\x1fr\x00\x00\x00'
18/10/2022 16:53:15.710/ Enviando pacote b'\x00\x00\x00- r\x00\x1f\x00\x00'
18/10/2022 16:53:17.600/ Ack Recebido b'\x04\x00\x00- r\x00\x00\x00'
18/10/2022 16:53:17.753/ Enviando pacote b'\x00\x00\x00-!r\x00 \x00\x00'
18/10/2022 16:53:19.533/ Ack Recebido b'\x04\x00\x00-!r\x00\x00\x00'
18/10/2022 16:53:19.670/ Enviando pacote b'\x00\x00\x00-"r\x00!\x00\x00'
18/10/2022 16:53:21.612/ Ack Recebido b'\x04\x00\x00-"r\x00\x00\x00'
18/10/2022 16:53:21.754/ Enviando pacote b'\x00\x00\x00-#r\x00"\x00\x00'
18/10/2022 16:53:23.631/ Ack Recebido b'\x04\x00\x00-#r\x00\x00\x00'
18/10/2022 16:53:23.784/ Enviando pacote b'\x00\x00\x00-$r\x00#\x00\x00'
18/10/2022 16:53:25.675/ Ack Recebido b'\x04\x00\x00-$r\x00\x00\x00'
18/10/2022 16:53:25.831/ Enviando pacote b'\x00\x00\x00-%r\x00$\x00\x00'
18/10/2022 16:53:27.718/ Ack Recebido b'\x04\x00\x00-%r\x00\x00\x00'
18/10/2022 16:53:27.870/ Enviando pacote b'\x00\x00\x00-&r\x00%\x00\x00'
18/10/2022 16:53:29.762/ Ack Recebido b'\x04\x00\x00-&r\x00\x00\x00'
18/10/2022 16:53:29.915/ Enviando pacote b"\x00\x00\x00-'r\x00&\x00\x00"
18/10/2022 16:53:31.751/ Ack Recebido b"\x04\x00\x00-'r\x00\x00\x00"
18/10/2022 16:53:31.903/ Enviando pacote b"\x00\x00\x00-(r\x00'\x00\x00"
18/10/2022 16:53:33.795/ Ack Recebido b'\x04\x00\x00-(r\x00\x00\x00'
18/10/2022 16:53:33.947/ Enviando pacote b'\x00\x00\x00-)r\x00(\x00\x00'
18/10/2022 16:53:35.833/ Ack Recebido b'\x04\x00\x00-)r\x00\x00\x00'
18/10/2022 16:53:35.986/ Enviando pacote b'\x00\x00\x00-*r\x00)\x00\x00'
18/10/2022 16:53:37.761/ Ack Recebido b'\x04\x00\x00-*r\x00\x00\x00'
18/10/2022 16:53:37.912/ Enviando pacote b'\x00\x00\x00-+r\x00*\x00\x00'
18/10/2022 16:53:39.803/ Ack Recebido b'\x04\x00\x00-+r\x00\x00\x00'
18/10/2022 16:53:39.950/ Enviando pacote b'\x00\x00\x00-,9\x00+\x00\x00'
18/10/2022 16:53:41.798/ Ack Recebido b'\x04\x00\x00-,9\x00\x00\x00'
18/10/2022 16:53:41.924 Comunicação encerrada
